chr1	249250621	441032	21705
chr2	243199373	314742	29898
chr3	198022430	225774	10693
chr4	191154276	156880	6698
chr5	180915260	215257	10996
chr6	171115067	187427	8151
chr7	159138663	208414	11278
chr8	146364022	168061	8287
chr9	141213431	171462	8973
chr10	135534747	153782	7696
chr11	135006516	259756	16965
chr12	133851895	256305	13285
chr13	115169878	71728	3005
chr14	107349540	157708	7439
chr15	102531392	140853	6225
chr16	90354753	198494	12864
chr17	81195210	228702	13298
chr18	78077248	76676	3216
chr19	59128983	228061	19979
chr20	63025520	122324	6575
chr21	48129895	43334	2286
chr22	51304566	96097	6329
chrX	155270560	162124	7331
chrY	59373566	7486	411
chrM	16571	1032326	28626
*	0	0	182770
