chr1	249250621	20956781	1674767
chr2	243199373	13314300	1939908
chr3	198022430	10285452	1008352
chr4	191154276	6927300	746299
chr5	180915260	8871386	946828
chr6	171115067	8621111	782529
chr7	159138663	10768456	996328
chr8	146364022	6800362	689115
chr9	141213431	7909558	712555
chr10	135534747	7219080	725165
chr11	135006516	10423006	798758
chr12	133851895	9737421	960034
chr13	115169878	3355759	374242
chr14	107349540	5825539	495348
chr15	102531392	5675768	513161
chr16	90354753	8030812	754485
chr17	81195210	10937033	896090
chr18	78077248	15820680	592087
chr19	59128983	11056698	896791
chr20	63025520	5903412	471600
chr21	48129895	2167836	222949
chr22	51304566	3902047	343937
chrX	155270560	6560331	511011
chrY	59373566	562190	53677
chrM	16571	124855385	1988310
*	0	0	10929626
