chr1	249250621	26391378	2837384
chr2	243199373	19639838	2487831
chr3	198022430	14087451	1636526
chr4	191154276	10558159	1235464
chr5	180915260	14601034	1760502
chr6	171115067	12742936	1322496
chr7	159138663	14700309	1713797
chr8	146364022	11373550	1263481
chr9	141213431	11612327	1228914
chr10	135534747	9807683	1141757
chr11	135006516	15431209	1534199
chr12	133851895	16454968	1849663
chr13	115169878	4778978	592003
chr14	107349540	9333931	926388
chr15	102531392	9084057	896080
chr16	90354753	12073469	1385692
chr17	81195210	15484148	1659856
chr18	78077248	11719642	1102925
chr19	59128983	17468548	1847966
chr20	63025520	8817802	852146
chr21	48129895	3801574	436250
chr22	51304566	6798729	705435
chrX	155270560	10248840	967985
chrY	59373566	719580	76621
chrM	16571	57972816	2526664
*	0	0	20831116
