chr1	249250621	32050812	1126685
chr2	243199373	22019158	895368
chr3	198022430	15472326	363173
chr4	191154276	11018659	284727
chr5	180915260	16309879	703037
chr6	171115067	14043939	305102
chr7	159138663	15587118	424112
chr8	146364022	12682916	485512
chr9	141213431	13173462	329753
chr10	135534747	10708102	254884
chr11	135006516	18073028	609629
chr12	133851895	19364034	795184
chr13	115169878	4923257	113200
chr14	107349540	10967649	242007
chr15	102531392	10447547	231041
chr16	90354753	14093329	681972
chr17	81195210	18448771	585121
chr18	78077248	10750322	375188
chr19	59128983	19454737	761761
chr20	63025520	10508360	259204
chr21	48129895	5774623	329025
chr22	51304566	8257474	234079
chrX	155270560	12948289	475782
chrY	59373566	491145	14508
chrM	16571	62259489	1078631
*	0	0	17246710
