chr1	249250621	23377860	2675055
chr2	243199373	12166168	2669586
chr3	198022430	9155643	1356394
chr4	191154276	5964941	948930
chr5	180915260	8019968	1345763
chr6	171115067	7271451	1023717
chr7	159138663	9056139	1320213
chr8	146364022	6098275	926750
chr9	141213431	7237196	985677
chr10	135534747	6279384	934933
chr11	135006516	9055577	1233544
chr12	133851895	8344401	1361502
chr13	115169878	3131948	512032
chr14	107349540	5114074	689539
chr15	102531392	4984532	688860
chr16	90354753	7338633	1114226
chr17	81195210	9279396	1241765
chr18	78077248	11176317	951244
chr19	59128983	9291174	1274690
chr20	63025520	4813779	630562
chr21	48129895	2658748	387811
chr22	51304566	3438939	484170
chrX	155270560	5492271	731052
chrY	59373566	499826	64633
chrM	16571	186296433	8373422
*	0	0	21765332
