chr1	249250621	440873	21499
chr2	243199373	313584	29522
chr3	198022430	226540	10479
chr4	191154276	157306	6852
chr5	180915260	215013	10853
chr6	171115067	187025	7972
chr7	159138663	210226	11115
chr8	146364022	168298	8293
chr9	141213431	173463	9036
chr10	135534747	153223	7658
chr11	135006516	260579	16476
chr12	133851895	259308	13151
chr13	115169878	71991	3012
chr14	107349540	159729	7492
chr15	102531392	140870	6239
chr16	90354753	200868	12550
chr17	81195210	230611	13358
chr18	78077248	77362	3234
chr19	59128983	230089	19762
chr20	63025520	121943	6352
chr21	48129895	43160	2276
chr22	51304566	97351	6484
chrX	155270560	162884	7156
chrY	59373566	7497	386
chrM	16571	1032969	28792
*	0	0	186946
