chr1	249250621	492497	22806
chr2	243199373	362822	47662
chr3	198022430	239717	10787
chr4	191154276	176041	7755
chr5	180915260	233667	11311
chr6	171115067	197533	8670
chr7	159138663	218182	11246
chr8	146364022	178401	8315
chr9	141213431	179777	9049
chr10	135534747	162287	7844
chr11	135006516	277402	18878
chr12	133851895	254569	12979
chr13	115169878	79466	3442
chr14	107349540	164025	7513
chr15	102531392	152354	6488
chr16	90354753	204091	12698
chr17	81195210	231580	13285
chr18	78077248	70742	3142
chr19	59128983	209087	17265
chr20	63025520	119952	6174
chr21	48129895	42955	2077
chr22	51304566	94833	6013
chrX	155270560	156369	7166
chrY	59373566	7382	405
chrM	16571	1380491	38765
*	0	0	281632
