chr1	249250621	969500	45329
chr2	243199373	717202	95287
chr3	198022430	472047	21646
chr4	191154276	347970	15193
chr5	180915260	460351	22166
chr6	171115067	391078	16963
chr7	159138663	430122	22214
chr8	146364022	352668	16699
chr9	141213431	354541	17848
chr10	135534747	319959	15620
chr11	135006516	546421	37495
chr12	133851895	503878	25554
chr13	115169878	156686	6689
chr14	107349540	323424	14806
chr15	102531392	301092	12956
chr16	90354753	401111	25455
chr17	81195210	456629	26277
chr18	78077248	139663	6151
chr19	59128983	408221	34387
chr20	63025520	236163	12332
chr21	48129895	84843	4046
chr22	51304566	184978	11728
chrX	155270560	309604	14032
chrY	59373566	14848	790
chrM	16571	2741038	76185
*	0	0	549626
