chr1	249250621	880559	43167
chr2	243199373	629053	59260
chr3	198022430	452340	21172
chr4	191154276	314238	13544
chr5	180915260	430507	21843
chr6	171115067	374469	16120
chr7	159138663	418706	22384
chr8	146364022	336602	16575
chr9	141213431	344925	18000
chr10	135534747	306963	15353
chr11	135006516	520328	33438
chr12	133851895	515822	26429
chr13	115169878	143711	6018
chr14	107349540	317462	14927
chr15	102531392	281757	12456
chr16	90354753	399390	25408
chr17	81195210	459329	26657
chr18	78077248	154047	6449
chr19	59128983	458111	39728
chr20	63025520	244334	12927
chr21	48129895	86487	4559
chr22	51304566	193490	12810
chrX	155270560	325037	14484
chrY	59373566	14984	796
chrM	16571	2086004	57427
*	0	0	369648
