chr1	249250621	412114	21079
chr2	243199373	337571	47169
chr3	198022430	224513	11032
chr4	191154276	161783	7577
chr5	180915260	211956	10206
chr6	171115067	182947	8386
chr7	159138663	203385	11009
chr8	146364022	157173	8030
chr9	141213431	166639	8719
chr10	135534747	150995	7694
chr11	135006516	249339	16534
chr12	133851895	230511	12417
chr13	115169878	75401	3497
chr14	107349540	147557	6908
chr15	102531392	135117	6247
chr16	90354753	178473	11740
chr17	81195210	207946	12879
chr18	78077248	77416	3636
chr19	59128983	189579	16189
chr20	63025520	106759	5747
chr21	48129895	39900	2165
chr22	51304566	81886	5399
chrX	155270560	147143	6694
chrY	59373566	6668	366
chrM	16571	964190	24359
*	0	0	225168
