#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	0.00	18.00	7.22	8.00	4265.00
chr1	27480473	27481381	908	908	1.00	50.00	22.29	21.00	20242.00
chr15	63112684	63112809	125	125	213.00	282.00	235.05	232.00	29381.00
chr5	149231737	149232254	517	517	0.00	28.00	10.82	10.00	5596.00
chr5	140865429	140867182	1753	1753	0.00	58.00	23.61	23.00	41386.00
chr1	32209793	32209958	165	165	175.00	392.00	298.56	301.00	49262.00
chr16	87873307	87873431	124	124	90.00	129.00	112.19	111.00	13911.00
chr17	34157438	34158175	737	737	0.00	12.00	3.06	0.00	2256.00
chr2	127815619	127816088	469	469	5.00	43.00	19.28	18.00	9040.00
chr1	208212965	208213112	147	147	18.00	67.00	45.16	54.00	6639.00
chr22	19703883	19704666	783	783	0.00	20.00	1.12	0.00	879.00
chr16	87872319	87872423	104	104	93.00	134.00	113.29	114.00	11782.00
chr9	140055740	140055868	128	128	508.00	757.00	633.55	629.00	81095.00
chr22	21096515	21096643	128	128	203.00	333.00	272.30	284.00	34854.00
chr9	140056321	140056540	219	219	0.00	835.00	521.02	661.00	114104.00
chr11	78379981	78380253	272	272	3.00	36.00	20.78	25.00	5651.00
chr3	11070420	11070533	113	113	163.00	218.00	188.61	189.00	21313.00
chr1	109812554	109813222	668	668	0.00	420.00	184.65	281.00	123344.00
chr2	220161954	220162155	201	201	431.00	767.00	622.42	651.00	125107.00
chr15	74706887	74707086	199	199	75.00	206.00	154.07	152.00	30659.00
chr17	7318829	7319426	597	597	153.00	435.00	259.61	245.00	154987.00
chr1	21560050	21560154	104	104	39.00	91.00	69.54	71.00	7232.00
chr1	25573799	25573952	153	153	3.00	187.00	113.63	138.00	17386.00
chr14	93198993	93199160	167	167	88.00	164.00	123.72	118.00	20662.00
chr1	205554003	205554119	116	116	57.00	149.00	111.58	113.50	12943.00
chr1	9795005	9795232	227	227	505.00	991.00	738.77	829.00	167701.00
chr17	42426525	42426670	145	145	70.00	124.00	103.10	105.00	14950.00
chr18	70205887	70206179	292	292	0.00	97.00	35.59	4.00	10392.00
chr1	205553082	205553251	169	169	54.00	160.00	111.18	114.00	18790.00
chr9	140056623	140056766	143	143	1.00	984.00	620.39	678.00	88716.00
chr6	33412147	33412394	247	247	0.00	523.00	236.79	267.00	58488.00
chr12	89992366	89992547	181	181	0.00	541.00	392.14	452.00	70978.00
chr2	220088827	220089576	749	749	62.00	208.00	107.66	97.00	80637.00
chr14	100763073	100765222	2149	2149	1.00	261.00	40.43	38.00	86875.00
chr1	110740697	110742543	1846	1846	3.00	341.00	185.43	167.00	342313.00
chr1	149878201	149879758	1557	1557	0.00	356.00	94.76	10.00	147541.00
chr3	197264139	197265259	1120	1120	0.00	10.00	1.08	0.00	1212.00
chr8	56449623	56450530	907	907	0.00	23.00	8.87	8.00	8044.00
chr9	139354208	139354326	118	118	14.00	101.00	43.83	44.00	5172.00
chr1	32204908	32205236	328	328	472.00	932.00	692.59	672.00	227170.00
chr7	75608768	75608897	129	129	141.00	278.00	219.02	226.00	28253.00
chr19	45161029	45161178	149	149	5.00	30.00	12.93	11.00	1926.00
chr19	5243911	5244493	582	582	5.00	49.00	26.60	25.00	15483.00
chr6	32119585	32119717	132	132	22.00	464.00	219.89	223.50	29025.00
chr3	42670878	42672067	1189	1189	0.00	12.00	3.30	2.00	3924.00
chr11	45892392	45892485	93	93	121.00	174.00	142.98	142.00	13297.00
chr17	80040789	80040991	202	202	361.00	556.00	469.85	481.50	94910.00
chr2	74902875	74903036	161	161	8.00	78.00	41.80	39.00	6730.00
chr17	38335969	38337946	1977	1977	0.00	154.00	12.53	4.00	24768.00
chr16	87870103	87870253	150	150	96.00	154.00	122.68	120.50	18402.00
chr1	32205947	32206142	195	195	524.00	712.00	599.54	590.00	116911.00
chr6	44117553	44117702	149	149	5.00	358.00	201.51	271.00	30025.00
chr1	159163659	159163830	171	171	653.00	837.00	751.86	755.00	128568.00
chr3	445565	446023	458	458	0.00	0.00	0.00	0.00	0.00
chr2	25048913	25048995	82	82	166.00	227.00	200.62	199.00	16451.00
chr10	99504485	99504672	187	187	76.00	156.00	115.79	117.00	21652.00
chr4	54364807	54365010	203	203	27.00	85.00	44.34	39.00	9002.00
chr17	1634367	1634552	185	185	19.00	39.00	30.50	31.00	5642.00
chr7	72416124	72416247	123	123	134.00	192.00	169.99	168.00	20909.00
chr1	208212169	208212329	160	160	24.00	74.00	44.73	45.00	7156.00
chr9	140952500	140952702	202	202	2.00	32.00	11.50	8.00	2322.00
chr6	44197325	44197528	203	203	30.00	72.00	47.92	47.00	9727.00
chr6	44197643	44198218	575	575	1.00	95.00	43.25	34.00	24866.00
chr11	118981972	118982084	112	112	260.00	329.00	286.96	280.00	32140.00
chr5	150503846	150503952	106	106	1.00	1617.00	948.11	1127.50	100500.00
chr11	118981761	118981878	117	117	210.00	300.00	259.52	260.00	30364.00
chr11	126314873	126315000	127	127	39.00	112.00	79.08	76.00	10043.00
chr1	159165808	159166244	436	436	0.00	742.00	146.90	9.00	64049.00
chr7	134893542	134893750	208	208	25.00	68.00	50.25	52.00	10453.00
chr9	121976196	121976433	237	237	72.00	380.00	209.18	235.00	49575.00
chr19	54691042	54691169	127	127	260.00	460.00	350.49	331.00	44512.00
chr22	38621430	38621600	170	170	389.00	504.00	446.79	444.50	75955.00
chr13	42035681	42036205	524	524	0.00	10.00	1.50	0.00	787.00
chr20	1915360	1915413	53	53	0.00	706.00	458.45	561.00	24298.00
chr5	14496987	14497126	139	139	86.00	135.00	103.17	103.00	14341.00
chr12	56528125	56528212	87	87	83.00	111.00	94.05	92.00	8182.00
chr3	47466974	47467101	127	127	72.00	123.00	95.35	98.00	12110.00
chr17	7415476	7415663	187	187	97.00	172.00	127.14	123.00	23775.00
chr3	33588037	33589252	1215	1215	0.00	50.00	15.43	14.00	18742.00
chr7	887833	888615	782	782	0.00	83.00	23.01	15.00	17995.00
chr10	24813251	24813693	442	442	22.00	87.00	50.36	48.00	22260.00
chr1	109812045	109812213	168	168	124.00	197.00	154.21	157.00	25908.00
chr19	15276597	15276902	305	305	13.00	92.00	56.80	59.00	17323.00
chr16	2334779	2334999	220	220	94.00	196.00	142.40	139.00	31329.00
