#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	0.00	184.00	47.57	28.00	28116.00
chr1	27480473	27481381	908	908	0.00	186.00	49.08	40.00	44566.00
chr15	63112684	63112809	125	125	162.00	516.00	364.06	389.00	45507.00
chr5	149231737	149232254	517	517	0.00	0.00	0.00	0.00	0.00
chr5	140865429	140867182	1753	1753	0.00	45.00	7.06	0.00	12381.00
chr1	32209793	32209958	165	165	67.00	228.00	112.97	101.00	18640.00
chr16	87873307	87873431	124	124	189.00	432.00	300.36	298.00	37245.00
chr17	34157438	34158175	737	737	0.00	0.00	0.00	0.00	0.00
chr2	127815619	127816088	469	469	0.00	138.00	33.48	0.00	15700.00
chr1	208212965	208213112	147	147	5.00	134.00	73.25	64.00	10768.00
chr22	19703883	19704666	783	783	0.00	1.00	0.02	0.00	19.00
chr16	87872319	87872423	104	104	79.00	196.00	131.20	136.00	13645.00
chr9	140055740	140055868	128	128	526.00	978.00	745.03	748.50	95364.00
chr22	21096515	21096643	128	128	113.00	470.00	270.88	283.00	34673.00
chr9	140056321	140056540	219	219	0.00	1122.00	641.33	779.00	140452.00
chr11	78379981	78380253	272	272	0.00	45.00	17.83	20.00	4850.00
chr3	11070420	11070533	113	113	88.00	171.00	131.41	129.00	14849.00
chr1	109812554	109813222	668	668	0.00	639.00	209.19	209.00	139742.00
chr2	220161954	220162155	201	201	390.00	824.00	607.47	606.00	122101.00
chr15	74706887	74707086	199	199	48.00	205.00	139.79	140.00	27818.00
chr17	7318829	7319426	597	597	1.00	304.00	102.69	68.00	61306.00
chr1	21560050	21560154	104	104	0.00	95.00	62.03	61.00	6451.00
chr1	25573799	25573952	153	153	1.00	465.00	246.73	287.00	37750.00
chr14	93198993	93199160	167	167	0.00	184.00	61.21	8.00	10222.00
chr1	205554003	205554119	116	116	59.00	133.00	99.87	95.00	11585.00
chr1	9795005	9795232	227	227	527.00	1153.00	895.73	929.00	203331.00
chr17	42426525	42426670	145	145	20.00	97.00	72.26	78.00	10478.00
chr18	70205887	70206179	292	292	0.00	0.00	0.00	0.00	0.00
chr1	205553082	205553251	169	169	62.00	162.00	109.64	110.00	18529.00
chr9	140056623	140056766	143	143	0.00	849.00	524.39	619.00	74988.00
chr6	33412147	33412394	247	247	5.00	557.00	269.06	344.00	66457.00
chr12	89992366	89992547	181	181	0.00	739.00	394.42	453.00	71390.00
chr2	220088827	220089576	749	749	0.00	264.00	69.42	54.00	51993.00
chr14	100763073	100765222	2149	2149	0.00	134.00	21.59	6.00	46395.00
chr1	110740697	110742543	1846	1846	6.00	519.00	233.71	228.00	431427.00
chr1	149878201	149879758	1557	1557	0.00	643.00	125.16	0.00	194881.00
chr3	197264139	197265259	1120	1120	0.00	51.00	8.69	0.00	9732.00
chr8	56449623	56450530	907	907	0.00	14.00	3.11	0.00	2823.00
chr9	139354208	139354326	118	118	18.00	62.00	30.03	18.00	3544.00
chr1	32204908	32205236	328	328	480.00	775.00	617.89	625.00	202669.00
chr7	75608768	75608897	129	129	16.00	134.00	90.11	93.00	11624.00
chr19	45161029	45161178	149	149	27.00	206.00	128.65	133.00	19169.00
chr19	5243911	5244493	582	582	0.00	120.00	36.71	25.00	21363.00
chr6	32119585	32119717	132	132	0.00	299.00	106.44	60.50	14050.00
chr3	42670878	42672067	1189	1189	0.00	71.00	17.52	0.00	20829.00
chr11	45892392	45892485	93	93	183.00	370.00	287.02	262.00	26693.00
chr17	80040789	80040991	202	202	174.00	600.00	385.97	350.50	77965.00
chr2	74902875	74903036	161	161	0.00	5.00	1.99	0.00	320.00
chr17	38335969	38337946	1977	1977	0.00	218.00	13.44	0.00	26572.00
chr16	87870103	87870253	150	150	200.00	517.00	374.18	387.00	56127.00
chr1	32205947	32206142	195	195	145.00	417.00	284.79	275.00	55534.00
chr6	44117553	44117702	149	149	0.00	309.00	175.59	223.00	26163.00
chr1	159163659	159163830	171	171	228.00	445.00	337.67	331.00	57742.00
chr3	445565	446023	458	458	0.00	58.00	12.77	0.00	5848.00
chr2	25048913	25048995	82	82	36.00	90.00	58.59	67.00	4804.00
chr10	99504485	99504672	187	187	16.00	180.00	66.68	50.00	12469.00
chr4	54364807	54365010	203	203	0.00	119.00	58.61	60.00	11897.00
chr17	1634367	1634552	185	185	0.00	24.00	14.22	15.00	2631.00
chr7	72416124	72416247	123	123	57.00	203.00	115.30	88.00	14182.00
chr1	208212169	208212329	160	160	0.00	98.00	49.59	52.00	7934.00
chr9	140952500	140952702	202	202	0.00	3.00	1.06	1.50	214.00
chr6	44197325	44197528	203	203	6.00	207.00	92.43	95.00	18763.00
