#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	0.00	21.00	6.79	0.00	4014.00
chr1	27480473	27481381	908	908	0.00	156.00	27.45	13.00	24928.00
chr15	63112684	63112809	125	125	2.00	249.00	76.91	57.00	9614.00
chr5	149231737	149232254	517	517	0.00	80.00	18.17	1.00	9395.00
chr5	140865429	140867182	1753	1753	0.00	70.00	8.29	0.00	14526.00
chr1	32209793	32209958	165	165	4.00	94.00	53.90	51.00	8894.00
chr16	87873307	87873431	124	124	4.00	315.00	100.00	73.00	12400.00
chr17	34157438	34158175	737	737	0.00	0.00	0.00	0.00	0.00
chr2	127815619	127816088	469	469	0.00	77.00	30.43	25.00	14274.00
chr1	208212965	208213112	147	147	0.00	20.00	16.01	20.00	2354.00
chr22	19703883	19704666	783	783	0.00	85.00	26.24	30.00	20545.00
chr16	87872319	87872423	104	104	194.00	493.00	371.37	366.00	38622.00
chr9	140055740	140055868	128	128	155.00	330.00	262.88	272.00	33649.00
chr22	21096515	21096643	128	128	74.00	144.00	108.23	102.00	13854.00
chr9	140056321	140056540	219	219	0.00	319.00	166.97	185.00	36567.00
chr11	78379981	78380253	272	272	0.00	1.00	0.24	0.00	65.00
chr3	11070420	11070533	113	113	338.00	559.00	421.25	415.00	47601.00
chr1	109812554	109813222	668	668	0.00	547.00	195.65	234.00	130694.00
chr2	220161954	220162155	201	201	18.00	352.00	180.24	186.00	36228.00
chr15	74706887	74707086	199	199	0.00	145.00	63.24	60.00	12585.00
chr17	7318829	7319426	597	597	85.00	390.00	208.59	200.00	124526.00
chr1	21560050	21560154	104	104	4.00	161.00	38.60	17.00	4014.00
chr1	25573799	25573952	153	153	0.00	862.00	489.12	497.00	74836.00
chr14	93198993	93199160	167	167	110.00	402.00	250.73	267.00	41872.00
chr1	205554003	205554119	116	116	61.00	138.00	98.83	100.00	11464.00
chr1	9795005	9795232	227	227	773.00	1407.00	1096.69	1078.00	248948.00
chr17	42426525	42426670	145	145	80.00	284.00	184.55	187.00	26760.00
chr18	70205887	70206179	292	292	0.00	27.00	3.91	0.00	1141.00
chr1	205553082	205553251	169	169	0.00	63.00	18.05	2.00	3051.00
chr9	140056623	140056766	143	143	0.00	304.00	192.02	231.00	27459.00
chr6	33412147	33412394	247	247	0.00	281.00	118.23	117.00	29203.00
chr12	89992366	89992547	181	181	0.00	174.00	104.34	123.00	18885.00
chr2	220088827	220089576	749	749	4.00	314.00	131.34	98.00	98374.00
chr14	100763073	100765222	2149	2149	0.00	474.00	85.26	47.00	183230.00
chr1	110740697	110742543	1846	1846	0.00	342.00	88.55	64.00	163472.00
chr1	149878201	149879758	1557	1557	0.00	321.00	33.42	0.00	52030.00
chr3	197264139	197265259	1120	1120	0.00	133.00	11.22	0.00	12568.00
chr8	56449623	56450530	907	907	0.00	11.00	1.22	0.00	1111.00
chr9	139354208	139354326	118	118	44.00	128.00	104.87	122.00	12375.00
chr1	32204908	32205236	328	328	61.00	642.00	342.58	384.00	112366.00
chr7	75608768	75608897	129	129	17.00	91.00	56.44	57.00	7281.00
chr19	45161029	45161178	149	149	0.00	132.00	62.77	46.00	9353.00
chr19	5243911	5244493	582	582	0.00	105.00	23.91	20.00	13917.00
chr6	32119585	32119717	132	132	0.00	496.00	206.46	250.00	27253.00
chr3	42670878	42672067	1189	1189	0.00	172.00	28.02	0.00	33319.00
chr11	45892392	45892485	93	93	64.00	149.00	106.59	97.00	9913.00
chr17	80040789	80040991	202	202	207.00	334.00	268.48	265.00	54232.00
chr2	74902875	74903036	161	161	0.00	65.00	37.83	52.00	6091.00
chr17	38335969	38337946	1977	1977	0.00	25.00	2.46	0.00	4863.00
chr16	87870103	87870253	150	150	132.00	469.00	249.27	228.00	37391.00
chr1	32205947	32206142	195	195	81.00	372.00	198.49	174.00	38705.00
chr6	44117553	44117702	149	149	0.00	360.00	207.06	273.00	30852.00
chr1	159163659	159163830	171	171	223.00	379.00	298.70	305.00	51078.00
chr3	445565	446023	458	458	0.00	5.00	2.21	0.00	1010.00
chr2	25048913	25048995	82	82	88.00	192.00	118.67	92.00	9731.00
chr10	99504485	99504672	187	187	33.00	215.00	124.52	97.00	23286.00
chr4	54364807	54365010	203	203	0.00	18.00	7.71	0.00	1566.00
chr17	1634367	1634552	185	185	15.00	122.00	66.50	90.00	12303.00
chr7	72416124	72416247	123	123	63.00	125.00	102.53	104.00	12611.00
chr1	208212169	208212329	160	160	3.00	51.00	35.94	48.00	5751.00
chr9	140952500	140952702	202	202	0.00	0.00	0.00	0.00	0.00
chr6	44197325	44197528	203	203	0.00	19.00	3.93	0.00	798.00
chr6	44197643	44198218	575	575	0.00	60.00	21.60	13.00	12420.00
chr11	118981972	118982084	112	112	15.00	144.00	62.21	32.00	6968.00
chr5	150503846	150503952	106	106	0.00	1753.00	984.78	1208.50	104387.00
chr11	118981761	118981878	117	117	94.00	184.00	146.25	146.00	17111.00
chr11	126314873	126315000	127	127	19.00	69.00	45.52	46.00	5781.00
chr1	159165808	159166244	436	436	0.00	252.00	45.38	0.00	19784.00
chr7	134893542	134893750	208	208	20.00	149.00	65.08	51.00	13536.00
chr9	121976196	121976433	237	237	0.00	100.00	49.03	58.00	11621.00
chr19	54691042	54691169	127	127	47.00	246.00	141.83	128.00	18012.00
chr22	38621430	38621600	170	170	336.00	591.00	484.38	502.50	82345.00
chr13	42035681	42036205	524	524	0.00	108.00	23.23	0.00	12172.00
chr20	1915360	1915413	53	53	5.00	651.00	440.45	555.00	23344.00
chr5	14496987	14497126	139	139	33.00	111.00	65.51	65.00	9106.00
chr12	56528125	56528212	87	87	12.00	100.00	42.14	53.00	3666.00
chr3	47466974	47467101	127	127	0.00	35.00	0.71	0.00	90.00
chr17	7415476	7415663	187	187	38.00	271.00	139.88	153.00	26157.00
chr3	33588037	33589252	1215	1215	0.00	124.00	12.60	0.00	15306.00
chr7	887833	888615	782	782	0.00	155.00	36.27	32.00	28362.00
chr10	24813251	24813693	442	442	0.00	57.00	25.44	27.00	11245.00
chr1	109812045	109812213	168	168	163.00	518.00	318.93	341.00	53580.00
chr19	15276597	15276902	305	305	57.00	345.00	142.68	127.00	43516.00
chr16	2334779	2334999	220	220	37.00	189.00	110.23	91.00	24250.00
chr16	68404761	68405261	500	500	0.00	53.00	7.41	0.00	3704.00
chr4	110969111	110969871	760	760	0.00	90.00	14.34	0.00	10898.00
chr1	145693161	145693996	835	835	0.00	0.00	0.00	0.00	0.00
chr7	44282848	44282932	84	84	122.00	223.00	169.88	170.00	14270.00
chr2	220164315	220164508	193	193	0.00	179.00	48.36	0.00	9333.00
chr12	50472203	50472360	157	157	0.00	164.00	82.74	112.00	12990.00
chr2	220163768	220163833	65	65	31.00	57.00	46.98	47.00	3054.00
chr2	222289928	222290862	934	934	1.00	525.00	122.33	88.00	114255.00
chr12	57599133	57599268	135	135	70.00	207.00	121.74	121.00	16435.00
chr7	157475416	157475629	213	213	150.00	356.00	243.60	227.00	51887.00
chr1	32203800	32203927	127	127	258.00	460.00	352.60	355.00	44780.00
chr1	109811731	109811912	181	181	111.00	382.00	223.64	200.00	40479.00
chr9	140052830	140052975	145	145	52.00	151.00	95.28	99.00	13816.00
chr2	220161706	220161854	148	148	180.00	371.00	249.83	224.00	36975.00
chr16	29896906	29897070	164	164	44.00	207.00	94.70	68.00	15531.00
chr16	47143393	47143622	229	229	0.00	98.00	44.95	48.00	10293.00
chr11	993753	993985	232	232	93.00	205.00	148.03	142.00	34342.00
chr9	124059698	124061137	1439	1439	0.00	150.00	37.90	36.00	54536.00
chr9	140350140	140350634	494	494	0.00	48.00	12.05	12.00	5954.00
chr11	14504577	14504697	120	120	98.00	221.00	143.88	142.50	17265.00
chr3	49898612	49898733	121	121	4.00	124.00	58.18	53.00	7040.00
chr9	131811659	131811777	118	118	39.00	112.00	77.78	83.00	9178.00
chr9	131810705	131810818	113	113	26.00	111.00	45.63	34.00	5156.00
chr1	223400935	223401080	145	145	23.00	65.00	33.17	32.00	4809.00
chr12	125612185	125612820	635	635	0.00	84.00	15.63	0.00	9923.00
chr2	220088590	220088744	154	154	169.00	393.00	295.27	300.00	45471.00
chr9	70888487	70888750	263	263	0.00	3.00	1.69	2.00	444.00
chr14	69813756	69813898	142	142	0.00	87.00	34.83	45.00	4946.00
chr2	47399145	47399890	745	745	0.00	677.00	34.00	0.00	25327.00
chr11	62688689	62689041	352	352	0.00	6.00	1.72	1.00	606.00
chr6	43745205	43745407	202	202	0.00	326.00	205.48	251.00	41506.00
chr3	11072492	11072997	505	505	0.00	381.00	58.07	5.00	29323.00
chr7	2696031	2696168	137	137	102.00	313.00	202.11	214.00	27689.00
chr16	14969196	14969279	83	83	201.00	438.00	348.27	377.00	28906.00
chr17	7377847	7378026	179	179	0.00	50.00	7.18	0.00	1286.00
chr12	65639640	65639719	79	79	84.00	174.00	149.71	159.00	11827.00
chr12	50294912	50295108	196	196	708.00	1512.00	1012.05	923.50	198361.00
chr19	42485653	42485788	135	135	70.00	178.00	137.27	132.00	18532.00
chr10	99509230	99509343	113	113	149.00	329.00	245.65	238.00	27759.00
chr22	38883877	38888120	4243	4243	0.00	868.00	184.84	128.00	784293.00
chr12	49416372	49416658	286	286	0.00	261.00	105.63	48.00	30211.00
chr6	24843089	24843782	693	693	0.00	118.00	30.13	32.00	20880.00
chr5	176295561	176295665	104	104	83.00	163.00	123.75	131.50	12870.00
chr10	99510087	99510227	140	140	61.00	245.00	114.38	95.00	16013.00
chr1	159173658	159174770	1112	1112	0.00	165.00	29.26	1.00	32542.00
chr11	1780745	1780869	124	124	3418.00	4269.00	3908.26	3954.50	484624.00
chr19	42486059	42486258	199	199	114.00	372.00	229.78	236.00	45727.00
chr3	47465422	47465535	113	113	29.00	169.00	133.33	141.00	15066.00
chr1	21573713	21573856	143	143	0.00	147.00	65.43	43.00	9357.00
chr11	65320330	65320453	123	123	105.00	262.00	194.34	208.00	23904.00
chr3	47462420	47462519	99	99	283.00	477.00	395.93	388.00	39197.00
chr2	219204751	219204864	113	113	0.00	11.00	3.09	0.00	349.00
chr1	43906123	43906257	134	134	0.00	9.00	5.52	8.00	740.00
chr7	38785158	38785840	682	682	0.00	494.00	73.02	0.00	49798.00
chr2	153499932	153500058	126	126	5.00	40.00	14.70	19.00	1852.00
chr1	32203011	32203132	121	121	0.00	604.00	428.44	508.00	51841.00
chr22	42290823	42290941	118	118	259.00	557.00	479.61	506.00	56594.00
chr19	47940718	47940818	100	100	11.00	60.00	29.58	30.00	2958.00
chr4	119539150	119539274	124	124	0.00	0.00	0.00	0.00	0.00
chr17	44117067	44117250	183	183	15.00	137.00	43.83	37.00	8020.00
chr19	42485873	42485983	110	110	45.00	118.00	70.45	64.00	7750.00
chr6	44114583	44114664	81	81	10.00	49.00	34.46	39.00	2791.00
chr19	47941105	47941292	187	187	0.00	79.00	40.11	60.00	7501.00
chr11	73074250	73074500	250	250	0.00	169.00	80.48	93.00	20119.00
chr3	33418764	33418825	61	61	127.00	342.00	189.36	169.00	11551.00
chr1	700258	700505	247	247	9.00	109.00	57.36	61.00	14169.00
chr9	74319510	74319719	209	209	0.00	102.00	17.04	1.00	3561.00
chr16	2336694	2336968	274	274	4.00	477.00	262.72	258.00	71985.00
chr20	3575125	3575219	94	94	48.00	415.00	193.17	157.00	18158.00
chr9	139231377	139231529	152	152	25.00	184.00	113.62	119.00	17271.00
chr5	140515951	140516498	547	547	0.00	100.00	14.95	0.00	8176.00
chr1	21938208	21938309	101	101	8.00	112.00	59.87	56.00	6047.00
chr3	155659188	155659936	748	748	0.00	299.00	78.98	35.00	59075.00
chr16	27483068	27483241	173	173	122.00	235.00	186.49	188.00	32263.00
