#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	43.00	195.00	116.74	109.00	68996.00
chr1	27480473	27481381	908	908	21.00	99.00	63.51	64.00	57665.00
chr15	63112684	63112809	125	125	365.00	571.00	465.98	457.00	58247.00
chr5	149231737	149232254	517	517	0.00	70.00	28.06	23.00	14507.00
chr5	140865429	140867182	1753	1753	0.00	145.00	36.29	28.00	63620.00
chr1	32209793	32209958	165	165	329.00	779.00	610.06	634.00	100660.00
chr16	87873307	87873431	124	124	255.00	341.00	305.57	312.50	37891.00
chr17	34157438	34158175	737	737	0.00	31.00	9.54	5.00	7031.00
chr2	127815619	127816088	469	469	18.00	144.00	75.30	79.00	35315.00
chr1	208212965	208213112	147	147	199.00	258.00	232.22	235.00	34137.00
chr22	19703883	19704666	783	783	0.00	41.00	13.48	13.00	10552.00
chr16	87872319	87872423	104	104	291.00	462.00	394.73	416.00	41052.00
chr9	140055740	140055868	128	128	1311.00	1937.00	1708.23	1745.50	218654.00
chr22	21096515	21096643	128	128	660.00	871.00	788.79	802.00	100965.00
chr9	140056321	140056540	219	219	0.00	2369.00	1446.72	1685.00	316832.00
chr11	78379981	78380253	272	272	12.00	110.00	53.90	57.00	14660.00
chr3	11070420	11070533	113	113	319.00	426.00	380.18	378.00	42960.00
chr1	109812554	109813222	668	668	0.00	809.00	366.86	531.00	245065.00
chr2	220161954	220162155	201	201	1198.00	2142.00	1802.20	1908.00	362242.00
chr15	74706887	74707086	199	199	426.00	637.00	504.53	495.00	100401.00
chr17	7318829	7319426	597	597	574.00	903.00	762.89	769.00	455448.00
chr1	21560050	21560154	104	104	141.00	243.00	185.47	184.00	19289.00
chr1	25573799	25573952	153	153	8.00	645.00	374.83	434.00	57349.00
chr14	93198993	93199160	167	167	281.00	425.00	358.74	357.00	59909.00
chr1	205554003	205554119	116	116	337.00	424.00	385.33	386.00	44698.00
chr1	9795005	9795232	227	227	1784.00	3121.00	2477.31	2484.00	562350.00
chr17	42426525	42426670	145	145	175.00	393.00	307.91	340.00	44647.00
chr18	70205887	70206179	292	292	0.00	108.00	35.19	0.00	10275.00
chr1	205553082	205553251	169	169	432.00	550.00	495.38	495.00	83720.00
chr9	140056623	140056766	143	143	5.00	2369.00	1595.83	1792.00	228203.00
chr6	33412147	33412394	247	247	5.00	1389.00	724.78	903.00	179021.00
chr12	89992366	89992547	181	181	0.00	1512.00	1122.78	1279.00	203223.00
chr2	220088827	220089576	749	749	210.00	407.00	310.50	310.00	232566.00
chr14	100763073	100765222	2149	2149	59.00	470.00	131.25	121.00	282057.00
chr1	110740697	110742543	1846	1846	0.00	1470.00	748.01	714.50	1380827.00
chr1	149878201	149879758	1557	1557	0.00	1169.00	303.25	41.00	472159.00
chr3	197264139	197265259	1120	1120	0.00	111.00	13.30	6.00	14901.00
