#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	86.00	277.00	179.91	182.00	106328.00
chr1	27480473	27481381	908	908	19.00	180.00	93.03	87.00	84469.00
chr15	63112684	63112809	125	125	574.00	839.00	707.43	686.00	88429.00
chr5	149231737	149232254	517	517	2.00	96.00	42.21	41.00	21823.00
chr5	140865429	140867182	1753	1753	9.00	109.00	51.93	49.00	91026.00
chr1	32209793	32209958	165	165	475.00	927.00	697.89	691.00	115152.00
chr16	87873307	87873431	124	124	397.00	532.00	453.44	445.00	56227.00
chr17	34157438	34158175	737	737	0.00	22.00	3.09	0.00	2277.00
chr2	127815619	127816088	469	469	8.00	89.00	42.74	40.00	20045.00
chr1	208212965	208213112	147	147	103.00	175.00	149.10	154.00	21917.00
chr22	19703883	19704666	783	783	3.00	60.00	32.00	31.00	25054.00
chr16	87872319	87872423	104	104	340.00	414.00	372.62	369.00	38752.00
chr9	140055740	140055868	128	128	1634.00	2325.00	2055.01	2086.50	263041.00
chr22	21096515	21096643	128	128	942.00	1105.00	1012.56	1016.50	129608.00
chr9	140056321	140056540	219	219	0.00	2815.00	1775.31	2091.00	388793.00
chr11	78379981	78380253	272	272	24.00	138.00	59.20	52.00	16102.00
chr3	11070420	11070533	113	113	780.00	1039.00	898.66	870.00	101549.00
chr1	109812554	109813222	668	668	1.00	1180.00	493.60	705.50	329725.00
chr2	220161954	220162155	201	201	1596.00	3131.00	2481.82	2579.00	498845.00
chr15	74706887	74707086	199	199	372.00	601.00	455.28	443.00	90600.00
chr17	7318829	7319426	597	597	337.00	831.00	583.15	578.00	348139.00
chr1	21560050	21560154	104	104	68.00	113.00	87.56	83.00	9106.00
chr1	25573799	25573952	153	153	64.00	730.00	436.69	506.00	66813.00
chr14	93198993	93199160	167	167	174.00	253.00	205.17	205.00	34263.00
chr1	205554003	205554119	116	116	791.00	976.00	888.71	888.50	103090.00
chr1	9795005	9795232	227	227	2603.00	4282.00	3455.51	3584.00	784400.00
chr17	42426525	42426670	145	145	125.00	303.00	215.28	212.00	31216.00
chr18	70205887	70206179	292	292	0.00	217.00	62.70	15.00	18308.00
chr1	205553082	205553251	169	169	838.00	1042.00	933.66	933.00	157789.00
chr9	140056623	140056766	143	143	5.00	2786.00	2036.87	2380.00	291272.00
chr6	33412147	33412394	247	247	0.00	1406.00	723.77	902.00	178771.00
chr12	89992366	89992547	181	181	5.00	1883.00	1480.76	1733.00	268018.00
chr2	220088827	220089576	749	749	257.00	489.00	371.08	365.00	277941.00
chr14	100763073	100765222	2149	2149	23.00	301.00	79.97	78.00	171851.00
chr1	110740697	110742543	1846	1846	14.00	1877.00	1119.07	1107.50	2065801.00
chr1	149878201	149879758	1557	1557	2.00	2092.00	517.98	29.00	806488.00
chr3	197264139	197265259	1120	1120	0.00	82.00	9.70	4.00	10869.00
chr8	56449623	56450530	907	907	8.00	158.00	55.23	47.00	50090.00
chr9	139354208	139354326	118	118	143.00	202.00	169.15	170.00	19960.00
chr1	32204908	32205236	328	328	1167.00	1775.00	1514.92	1591.50	496895.00
