#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	26.00	150.00	96.27	105.00	56897.00
chr1	27480473	27481381	908	908	1.00	168.00	62.23	56.00	56501.00
chr15	63112684	63112809	125	125	492.00	811.00	665.59	673.00	83199.00
chr5	149231737	149232254	517	517	0.00	38.00	16.41	17.00	8485.00
chr5	140865429	140867182	1753	1753	0.00	126.00	28.74	20.00	50384.00
chr1	32209793	32209958	165	165	219.00	411.00	309.05	299.00	50993.00
chr16	87873307	87873431	124	124	65.00	153.00	103.19	105.50	12796.00
chr17	34157438	34158175	737	737	0.00	1.00	0.13	0.00	97.00
chr2	127815619	127816088	469	469	0.00	0.00	0.00	0.00	0.00
chr1	208212965	208213112	147	147	82.00	244.00	180.93	192.00	26596.00
chr22	19703883	19704666	783	783	0.00	42.00	15.62	17.00	12228.00
chr16	87872319	87872423	104	104	116.00	244.00	196.15	207.00	20400.00
chr9	140055740	140055868	128	128	1239.00	1535.00	1407.80	1409.50	180198.00
chr22	21096515	21096643	128	128	484.00	912.00	685.97	672.50	87804.00
chr9	140056321	140056540	219	219	0.00	1976.00	1149.17	1330.00	251668.00
chr11	78379981	78380253	272	272	0.00	27.00	16.24	16.00	4416.00
chr3	11070420	11070533	113	113	234.00	401.00	319.35	317.00	36087.00
chr1	109812554	109813222	668	668	0.00	719.00	305.77	428.50	204252.00
chr2	220161954	220162155	201	201	1120.00	1850.00	1608.85	1700.00	323379.00
chr15	74706887	74707086	199	199	105.00	262.00	173.35	165.00	34496.00
chr17	7318829	7319426	597	597	164.00	489.00	282.44	258.00	168614.00
chr1	21560050	21560154	104	104	8.00	60.00	27.13	25.00	2822.00
chr1	25573799	25573952	153	153	12.00	281.00	127.59	124.00	19521.00
chr14	93198993	93199160	167	167	158.00	314.00	209.16	200.00	34930.00
chr1	205554003	205554119	116	116	301.00	452.00	397.16	408.00	46070.00
chr1	9795005	9795232	227	227	1491.00	2916.00	2187.24	2173.00	496504.00
chr17	42426525	42426670	145	145	9.00	73.00	40.46	42.00	5866.00
chr18	70205887	70206179	292	292	0.00	175.00	54.50	0.00	15913.00
chr1	205553082	205553251	169	169	381.00	510.00	428.01	426.00	72334.00
chr9	140056623	140056766	143	143	0.00	1698.00	1161.97	1317.00	166162.00
chr6	33412147	33412394	247	247	0.00	630.00	314.37	406.00	77650.00
chr12	89992366	89992547	181	181	0.00	1350.00	992.43	1142.00	179629.00
chr2	220088827	220089576	749	749	51.00	325.00	174.62	160.00	130794.00
chr14	100763073	100765222	2149	2149	0.00	226.00	40.62	31.00	87302.00
chr1	110740697	110742543	1846	1846	7.00	1073.00	551.03	557.50	1017200.00
chr1	149878201	149879758	1557	1557	0.00	1237.00	266.99	0.00	415709.00
chr3	197264139	197265259	1120	1120	0.00	150.00	10.05	0.00	11261.00
chr8	56449623	56450530	907	907	0.00	109.00	20.57	7.00	18657.00
chr9	139354208	139354326	118	118	32.00	77.00	61.51	67.00	7258.00
chr1	32204908	32205236	328	328	825.00	1465.00	1140.12	1160.00	373961.00
chr7	75608768	75608897	129	129	95.00	243.00	186.73	193.00	24088.00
chr19	45161029	45161178	149	149	28.00	124.00	84.30	86.00	12561.00
chr19	5243911	5244493	582	582	78.00	265.00	148.82	145.00	86613.00
chr6	32119585	32119717	132	132	7.00	822.00	356.68	301.00	47082.00
chr3	42670878	42672067	1189	1189	0.00	58.00	10.10	0.00	12012.00
chr11	45892392	45892485	93	93	129.00	274.00	175.76	158.00	16346.00
chr17	80040789	80040991	202	202	665.00	909.00	788.59	781.00	159295.00
chr2	74902875	74903036	161	161	68.00	131.00	99.16	98.00	15964.00
chr17	38335969	38337946	1977	1977	0.00	248.00	15.86	1.00	31358.00
chr16	87870103	87870253	150	150	182.00	361.00	289.15	290.00	43372.00
chr1	32205947	32206142	195	195	583.00	1308.00	878.95	836.00	171396.00
chr6	44117553	44117702	149	149	0.00	489.00	300.66	407.00	44799.00
chr1	159163659	159163830	171	171	1266.00	1745.00	1445.20	1464.00	247130.00
chr3	445565	446023	458	458	0.00	34.00	2.89	0.00	1323.00
chr2	25048913	25048995	82	82	135.00	242.00	188.78	196.00	15480.00
chr10	99504485	99504672	187	187	81.00	188.00	113.81	117.00	21283.00
chr4	54364807	54365010	203	203	65.00	206.00	126.61	112.00	25701.00
chr17	1634367	1634552	185	185	2.00	43.00	27.31	30.00	5052.00
chr7	72416124	72416247	123	123	74.00	187.00	110.59	102.00	13602.00
chr1	208212169	208212329	160	160	57.00	210.00	117.30	108.00	18768.00
chr9	140952500	140952702	202	202	8.00	46.00	24.63	25.00	4976.00
chr6	44197325	44197528	203	203	47.00	202.00	118.40	125.00	24035.00
chr6	44197643	44198218	575	575	6.00	127.00	56.90	45.00	32715.00
chr11	118981972	118982084	112	112	291.00	418.00	346.86	345.00	38848.00
chr5	150503846	150503952	106	106	0.00	3945.00	2585.17	3245.50	274028.00
chr11	118981761	118981878	117	117	382.00	538.00	456.17	455.00	53372.00
chr11	126314873	126315000	127	127	94.00	191.00	126.95	120.00	16123.00
chr1	159165808	159166244	436	436	0.00	1672.00	292.93	16.00	127719.00
chr7	134893542	134893750	208	208	10.00	115.00	70.07	83.00	14574.00
chr9	121976196	121976433	237	237	143.00	572.00	371.27	404.00	87992.00
chr19	54691042	54691169	127	127	445.00	844.00	636.39	589.00	80822.00
chr22	38621430	38621600	170	170	230.00	621.00	466.74	519.50	79345.00
chr13	42035681	42036205	524	524	0.00	32.00	6.19	0.00	3243.00
chr20	1915360	1915413	53	53	0.00	1596.00	1104.74	1396.00	58551.00
chr5	14496987	14497126	139	139	220.00	353.00	282.96	294.00	39332.00
chr12	56528125	56528212	87	87	53.00	100.00	69.64	71.00	6059.00
chr3	47466974	47467101	127	127	94.00	163.00	127.90	129.00	16243.00
chr17	7415476	7415663	187	187	87.00	244.00	149.63	150.00	27980.00
chr3	33588037	33589252	1215	1215	0.00	83.00	15.39	7.00	18695.00
chr7	887833	888615	782	782	0.00	164.00	40.10	27.00	31362.00
chr10	24813251	24813693	442	442	9.00	223.00	90.06	83.00	39808.00
chr1	109812045	109812213	168	168	413.00	494.00	455.71	459.00	76559.00
chr19	15276597	15276902	305	305	59.00	247.00	153.05	146.00	46681.00
chr16	2334779	2334999	220	220	199.00	500.00	373.75	398.00	82225.00
chr16	68404761	68405261	500	500	32.00	137.00	79.68	84.00	39840.00
chr4	110969111	110969871	760	760	0.00	106.00	41.79	36.00	31764.00
chr1	145693161	145693996	835	835	0.00	52.00	13.17	5.00	10995.00
chr7	44282848	44282932	84	84	911.00	1131.00	1018.96	1022.50	85593.00
chr2	220164315	220164508	193	193	0.00	840.00	343.64	6.00	66323.00
chr12	50472203	50472360	157	157	87.00	235.00	172.52	191.00	27086.00
chr2	220163768	220163833	65	65	724.00	848.00	779.69	782.00	50680.00
chr2	222289928	222290862	934	934	235.00	843.00	483.04	468.50	451164.00
chr12	57599133	57599268	135	135	151.00	335.00	235.33	224.00	31770.00
chr7	157475416	157475629	213	213	572.00	904.00	727.94	736.00	155052.00
chr1	32203800	32203927	127	127	1035.00	1409.00	1204.98	1193.00	153032.00
chr1	109811731	109811912	181	181	255.00	575.00	427.04	442.00	77295.00
chr9	140052830	140052975	145	145	985.00	1721.00	1352.27	1434.00	196079.00
chr2	220161706	220161854	148	148	1459.00	2441.00	1888.68	1810.00	279524.00
chr16	29896906	29897070	164	164	504.00	963.00	739.43	770.50	121267.00
chr16	47143393	47143622	229	229	37.00	317.00	138.28	101.00	31666.00
chr11	993753	993985	232	232	291.00	628.00	469.04	486.50	108818.00
chr9	124059698	124061137	1439	1439	0.00	36.00	2.67	0.00	3837.00
chr9	140350140	140350634	494	494	0.00	40.00	17.31	18.50	8551.00
chr11	14504577	14504697	120	120	112.00	268.00	187.18	190.00	22461.00
chr3	49898612	49898733	121	121	656.00	964.00	818.57	843.00	99047.00
chr9	131811659	131811777	118	118	2.00	41.00	30.30	37.00	3575.00
chr9	131810705	131810818	113	113	24.00	153.00	90.87	84.00	10268.00
chr1	223400935	223401080	145	145	226.00	428.00	349.99	371.00	50748.00
chr12	125612185	125612820	635	635	0.00	461.00	76.51	6.00	48583.00
chr2	220088590	220088744	154	154	143.00	387.00	228.05	205.00	35120.00
chr9	70888487	70888750	263	263	0.00	18.00	6.33	1.00	1666.00
chr14	69813756	69813898	142	142	76.00	296.00	172.59	192.00	24508.00
chr2	47399145	47399890	745	745	0.00	713.00	32.42	3.00	24154.00
chr11	62688689	62689041	352	352	0.00	175.00	53.45	20.00	18816.00
chr6	43745205	43745407	202	202	0.00	215.00	164.88	165.00	33305.00
chr3	11072492	11072997	505	505	0.00	643.00	119.38	0.00	60285.00
chr7	2696031	2696168	137	137	295.00	466.00	398.36	401.00	54575.00
chr16	14969196	14969279	83	83	428.00	568.00	496.41	489.00	41202.00
chr17	7377847	7378026	179	179	0.00	46.00	20.72	21.00	3709.00
chr12	65639640	65639719	79	79	28.00	121.00	61.15	59.00	4831.00
chr12	50294912	50295108	196	196	1411.00	2259.00	1670.24	1638.50	327367.00
chr19	42485653	42485788	135	135	1030.00	1997.00	1497.25	1446.00	202129.00
chr10	99509230	99509343	113	113	118.00	295.00	185.64	186.00	20977.00
chr22	38883877	38888120	4243	4243	0.00	808.00	116.91	67.00	496032.00
chr12	49416372	49416658	286	286	45.00	141.00	75.01	79.00	21453.00
chr6	24843089	24843782	693	693	34.00	245.00	125.98	131.00	87304.00
chr5	176295561	176295665	104	104	204.00	377.00	275.24	264.50	28625.00
chr10	99510087	99510227	140	140	263.00	474.00	341.24	335.00	47774.00
chr1	159173658	159174770	1112	1112	0.00	177.00	72.45	68.00	80567.00
chr11	1780745	1780869	124	124	3868.00	5747.00	5060.35	5332.50	627483.00
chr19	42486059	42486258	199	199	989.00	1983.00	1484.05	1483.00	295326.00
chr3	47465422	47465535	113	113	63.00	151.00	93.27	87.00	10539.00
chr1	21573713	21573856	143	143	0.00	70.00	24.21	13.00	3462.00
chr11	65320330	65320453	123	123	86.00	179.00	132.77	132.00	16331.00
chr3	47462420	47462519	99	99	229.00	479.00	341.14	347.00	33773.00
chr2	219204751	219204864	113	113	46.00	191.00	116.42	133.00	13156.00
chr1	43906123	43906257	134	134	11.00	72.00	35.03	35.00	4694.00
chr7	38785158	38785840	682	682	0.00	747.00	46.99	4.00	32049.00
chr2	153499932	153500058	126	126	45.00	133.00	100.51	101.50	12664.00
