#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	0.00	0.00	0.00	0.00	0.00
chr1	27480473	27481381	908	908	0.00	0.00	0.00	0.00	0.00
chr15	63112684	63112809	125	125	2.00	58.00	28.50	34.00	3563.00
chr5	149231737	149232254	517	517	0.00	2.00	0.19	0.00	98.00
chr5	140865429	140867182	1753	1753	0.00	37.00	4.23	0.00	7422.00
chr1	32209793	32209958	165	165	0.00	8.00	0.39	0.00	64.00
chr16	87873307	87873431	124	124	16.00	38.00	25.61	22.00	3176.00
chr17	34157438	34158175	737	737	0.00	13.00	1.77	0.00	1305.00
chr2	127815619	127816088	469	469	0.00	0.00	0.00	0.00	0.00
chr1	208212965	208213112	147	147	0.00	12.00	4.24	0.00	623.00
chr22	19703883	19704666	783	783	0.00	4.00	0.90	0.00	707.00
chr16	87872319	87872423	104	104	0.00	33.00	19.47	17.00	2025.00
chr9	140055740	140055868	128	128	0.00	85.00	9.95	0.00	1274.00
chr22	21096515	21096643	128	128	0.00	138.00	83.21	80.00	10651.00
chr9	140056321	140056540	219	219	0.00	46.00	18.72	0.00	4100.00
chr11	78379981	78380253	272	272	0.00	0.00	0.00	0.00	0.00
chr3	11070420	11070533	113	113	0.00	64.00	22.11	29.00	2498.00
chr1	109812554	109813222	668	668	0.00	242.00	55.76	36.00	37250.00
chr2	220161954	220162155	201	201	0.00	103.00	51.45	56.00	10341.00
chr15	74706887	74707086	199	199	0.00	14.00	7.11	12.00	1414.00
chr17	7318829	7319426	597	597	0.00	252.00	94.27	85.00	56278.00
chr1	21560050	21560154	104	104	0.00	58.00	55.77	58.00	5800.00
chr1	25573799	25573952	153	153	0.00	657.00	393.14	505.00	60151.00
chr14	93198993	93199160	167	167	0.00	431.00	221.63	221.00	37012.00
chr1	205554003	205554119	116	116	0.00	0.00	0.00	0.00	0.00
chr1	9795005	9795232	227	227	0.00	232.00	112.07	144.00	25441.00
chr17	42426525	42426670	145	145	0.00	0.00	0.00	0.00	0.00
chr18	70205887	70206179	292	292	0.00	0.00	0.00	0.00	0.00
chr1	205553082	205553251	169	169	0.00	0.00	0.00	0.00	0.00
chr9	140056623	140056766	143	143	0.00	91.00	33.15	32.00	4741.00
chr6	33412147	33412394	247	247	0.00	0.00	0.00	0.00	0.00
chr12	89992366	89992547	181	181	0.00	8.00	0.04	0.00	8.00
chr2	220088827	220089576	749	749	0.00	59.00	13.75	4.00	10302.00
chr14	100763073	100765222	2149	2149	0.00	0.00	0.00	0.00	0.00
chr1	110740697	110742543	1846	1846	0.00	149.00	30.23	0.00	55808.00
chr1	149878201	149879758	1557	1557	0.00	146.00	11.37	0.00	17696.00
chr3	197264139	197265259	1120	1120	0.00	92.00	2.85	0.00	3197.00
chr8	56449623	56450530	907	907	0.00	0.00	0.00	0.00	0.00
chr9	139354208	139354326	118	118	71.00	147.00	112.14	146.00	13233.00
