#chrom	start	end	size	num_data	min	max	mean	median	sum
chr20	60962376	60962444	68	68	6234.00	19559.00	12211.06	12528.00	830352.00
chr20	60962666	60962730	64	64	19086.00	22869.00	20510.55	20274.50	1312675.00
chr9	140046637	140048246	1609	1609	0.00	17.00	2.00	0.00	3213.00
chr20	60963364	60963575	211	211	66.00	15654.00	4345.14	890.00	916825.00
chr4	39457960	39458158	198	198	0.00	12124.00	3484.05	2342.50	689842.00
chr16	46717400	46717518	118	118	0.00	12.00	9.56	12.00	1128.00
chr5	141348677	141348732	55	55	0.00	69.00	36.16	49.00	1989.00
chr1	27889774	27889872	98	98	0.00	0.00	0.00	0.00	0.00
chr10	85899271	85899349	78	78	5.00	519.00	175.40	115.00	13681.00
chr12	56436208	56436386	178	178	2936.00	13237.00	9240.99	9949.00	1644896.00
chr8	1285747	1287021	1274	1274	0.00	67.00	3.68	0.00	4687.00
chr10	71930168	71930259	91	91	0.00	63.00	41.42	41.00	3769.00
chr7	22852591	22852804	213	213	61.00	8301.00	4178.33	3873.00	889984.00
chr6	34385239	34385324	85	85	433.00	7140.00	3570.82	3520.00	303520.00
chr19	13351029	13351528	499	499	0.00	6.00	1.02	0.00	510.00
chr8	82633461	82633523	62	62	0.00	6.00	0.97	0.00	60.00
chr7	157639384	157641336	1952	1952	0.00	0.00	0.00	0.00	0.00
chr11	61312182	61313477	1295	1295	0.00	9.00	2.19	0.00	2835.00
chr2	55462563	55463120	557	557	7.00	19441.00	3585.72	194.00	1997244.00
chr15	82822713	82822779	66	66	12119.00	17503.00	14977.20	15109.50	988495.00
chr15	83207056	83207122	66	66	13265.00	16259.00	14302.20	14182.00	943945.00
chr20	60962898	60963118	220	220	0.00	18768.00	5281.51	0.00	1161933.00
chr14	50087279	50087341	62	62	69.00	2745.00	1404.16	1443.50	87058.00
chr1	161007431	161007616	185	185	21.00	614.00	375.10	452.00	69394.00
chr16	56667662	56667871	209	209	465.00	3939.00	2856.87	3039.00	597086.00
chr2	62095273	62095841	568	568	7.00	856.00	357.89	183.00	203281.00
chr19	50002768	50002948	180	180	18.00	20565.00	10291.58	10762.00	1852484.00
chr5	141350268	141350442	174	174	34.00	92.00	65.47	67.00	11391.00
chr14	50050290	50050393	103	103	119.00	13396.00	5636.77	4193.00	580587.00
chr11	13438704	13438826	122	122	0.00	60.00	46.61	59.00	5686.00
chr2	3113787	3114772	985	985	0.00	0.00	0.00	0.00	0.00
chr4	166234389	166234518	129	129	365.00	652.00	500.00	493.00	64500.00
chr20	57607274	57607398	124	124	58.00	10045.00	4570.10	4291.00	566692.00
chr6	52860421	52860742	321	321	12.00	960.00	521.41	505.00	167373.00
chr8	74203786	74203896	110	110	8254.00	12987.00	10596.76	10407.50	1165644.00
chr7	10973076	10973319	243	243	0.00	13044.00	6456.58	6555.00	1568948.00
chr2	76672341	76672528	187	187	0.00	100.00	51.64	61.00	9656.00
chr8	74204007	74204145	138	138	8894.00	11593.00	10476.74	10511.00	1445790.00
chr16	85833245	85833358	113	113	112.00	7315.00	1754.50	501.00	198258.00
chr10	7830132	7830226	94	94	0.00	602.00	278.09	219.00	26140.00
chr6	35438356	35438556	200	200	87.00	6561.00	4034.18	5177.50	806837.00
chr17	44450181	44450232	51	51	0.00	26.00	1.02	0.00	52.00
chr4	170611680	170611803	123	123	0.00	23.00	3.90	0.00	480.00
chr6	34741222	34741557	335	335	41.00	1219.00	668.13	702.00	223824.00
