#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	80.00	262.00	173.00	183.00	102244.00
chr1	27480473	27481381	908	908	31.00	145.00	79.04	78.00	71768.00
chr15	63112684	63112809	125	125	741.00	1028.00	910.77	907.00	113846.00
chr5	149231737	149232254	517	517	14.00	111.00	52.44	50.00	27114.00
chr5	140865429	140867182	1753	1753	0.00	205.00	45.22	35.00	79265.00
chr1	32209793	32209958	165	165	450.00	1089.00	786.28	797.00	129737.00
chr16	87873307	87873431	124	124	216.00	358.00	299.43	312.00	37129.00
chr17	34157438	34158175	737	737	0.00	34.00	11.81	13.00	8701.00
chr2	127815619	127816088	469	469	5.00	79.00	42.94	42.00	20141.00
chr1	208212965	208213112	147	147	106.00	257.00	194.20	197.00	28547.00
chr22	19703883	19704666	783	783	19.00	98.00	55.62	53.00	43554.00
chr16	87872319	87872423	104	104	222.00	352.00	281.31	277.00	29256.00
chr9	140055740	140055868	128	128	1745.00	2553.00	2209.98	2256.50	282877.00
chr22	21096515	21096643	128	128	1077.00	1267.00	1178.44	1171.00	150840.00
chr9	140056321	140056540	219	219	0.00	3860.00	2204.91	2439.00	482875.00
chr11	78379981	78380253	272	272	31.00	72.00	51.62	55.00	14040.00
chr3	11070420	11070533	113	113	563.00	728.00	638.78	636.00	72182.00
chr1	109812554	109813222	668	668	20.00	1125.00	537.18	786.50	358834.00
chr2	220161954	220162155	201	201	2073.00	2843.00	2504.72	2538.00	503449.00
chr15	74706887	74707086	199	199	195.00	327.00	245.50	242.00	48855.00
chr17	7318829	7319426	597	597	392.00	819.00	575.95	561.00	343843.00
chr1	21560050	21560154	104	104	15.00	64.00	39.64	36.00	4123.00
chr1	25573799	25573952	153	153	2.00	856.00	469.98	574.00	71907.00
chr14	93198993	93199160	167	167	230.00	445.00	345.75	362.00	57741.00
chr1	205554003	205554119	116	116	753.00	937.00	849.45	837.50	98536.00
chr1	9795005	9795232	227	227	2237.00	4423.00	3304.58	3331.00	750139.00
chr17	42426525	42426670	145	145	78.00	296.00	198.57	203.00	28793.00
chr18	70205887	70206179	292	292	9.00	179.00	69.81	34.00	20384.00
chr1	205553082	205553251	169	169	793.00	1126.00	985.64	990.00	166574.00
chr9	140056623	140056766	143	143	2.00	3300.00	2263.94	2628.00	323744.00
chr6	33412147	33412394	247	247	7.00	1824.00	942.90	1073.00	232897.00
chr12	89992366	89992547	181	181	0.00	2260.00	1605.24	1713.00	290549.00
chr2	220088827	220089576	749	749	139.00	654.00	358.95	340.00	268854.00
chr14	100763073	100765222	2149	2149	12.00	300.00	72.93	66.00	156729.00
chr1	110740697	110742543	1846	1846	6.00	1744.00	1029.74	1023.50	1900909.00
chr1	149878201	149879758	1557	1557	3.00	2169.00	561.69	48.00	874553.00
chr3	197264139	197265259	1120	1120	0.00	69.00	15.53	11.00	17397.00
