#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	118.00	253.00	178.75	181.00	105643.00
chr1	27480473	27481381	908	908	27.00	139.00	82.74	83.00	75124.00
chr15	63112684	63112809	125	125	472.00	638.00	561.64	563.00	70205.00
chr5	149231737	149232254	517	517	8.00	95.00	39.58	36.00	20462.00
chr5	140865429	140867182	1753	1753	3.00	139.00	61.05	58.00	107013.00
chr1	32209793	32209958	165	165	326.00	801.00	610.17	644.00	100678.00
chr16	87873307	87873431	124	124	429.00	671.00	562.26	568.00	69720.00
chr17	34157438	34158175	737	737	0.00	15.00	4.01	4.00	2954.00
chr2	127815619	127816088	469	469	21.00	149.00	84.27	83.00	39524.00
chr1	208212965	208213112	147	147	106.00	152.00	127.31	128.00	18715.00
chr22	19703883	19704666	783	783	2.00	69.00	30.67	28.00	24017.00
chr16	87872319	87872423	104	104	474.00	643.00	543.83	528.00	56558.00
chr9	140055740	140055868	128	128	1837.00	2641.00	2350.59	2403.50	300875.00
chr22	21096515	21096643	128	128	726.00	1005.00	853.66	852.00	109269.00
chr9	140056321	140056540	219	219	6.00	2986.00	1905.16	2385.00	417231.00
chr11	78379981	78380253	272	272	17.00	72.00	43.48	42.00	11827.00
chr3	11070420	11070533	113	113	776.00	1030.00	900.68	892.00	101777.00
chr1	109812554	109813222	668	668	11.00	1198.00	542.87	830.00	362636.00
chr2	220161954	220162155	201	201	1928.00	3338.00	2832.31	3020.00	569294.00
chr15	74706887	74707086	199	199	276.00	505.00	393.57	406.00	78320.00
chr17	7318829	7319426	597	597	400.00	756.00	575.52	570.00	343584.00
chr1	21560050	21560154	104	104	104.00	160.00	137.15	135.00	14264.00
chr1	25573799	25573952	153	153	31.00	742.00	432.97	527.00	66245.00
chr14	93198993	93199160	167	167	225.00	390.00	319.41	340.00	53341.00
chr1	205554003	205554119	116	116	649.00	786.00	722.30	717.50	83787.00
chr1	9795005	9795232	227	227	2351.00	4160.00	3268.02	3372.00	741840.00
chr17	42426525	42426670	145	145	108.00	311.00	225.72	250.00	32729.00
chr18	70205887	70206179	292	292	0.00	239.00	90.00	16.00	26279.00
chr1	205553082	205553251	169	169	712.00	1030.00	896.89	922.00	151574.00
chr9	140056623	140056766	143	143	15.00	2869.00	2036.90	2381.00	291277.00
chr6	33412147	33412394	247	247	0.00	1305.00	682.82	811.00	168657.00
chr12	89992366	89992547	181	181	0.00	2208.00	1629.40	1836.00	294921.00
chr2	220088827	220089576	749	749	231.00	537.00	371.30	347.00	278104.00
chr14	100763073	100765222	2149	2149	30.00	293.00	81.19	74.00	174488.00
chr1	110740697	110742543	1846	1846	0.00	2115.00	1083.45	1029.00	2000054.00
chr1	149878201	149879758	1557	1557	0.00	2126.00	535.29	22.00	833444.00
chr3	197264139	197265259	1120	1120	0.00	69.00	20.92	20.00	23433.00
chr8	56449623	56450530	907	907	6.00	103.00	48.61	46.00	44093.00
chr9	139354208	139354326	118	118	141.00	193.00	169.66	174.00	20020.00
chr1	32204908	32205236	328	328	1306.00	1752.00	1513.41	1505.50	496397.00
chr7	75608768	75608897	129	129	256.00	331.00	287.23	286.00	37053.00
