#chrom	start	end	size	num_data	min	max	mean	median	sum
chr12	1940100	1940691	591	591	12.00	100.00	46.85	46.00	27690.00
chr1	27480473	27481381	908	908	1.00	70.00	29.04	28.00	26365.00
chr15	63112684	63112809	125	125	252.00	357.00	321.62	328.00	40202.00
chr5	149231737	149232254	517	517	0.00	22.00	5.89	4.00	3045.00
chr5	140865429	140867182	1753	1753	4.00	68.00	23.55	22.00	41278.00
chr1	32209793	32209958	165	165	181.00	654.00	452.90	474.00	74728.00
chr16	87873307	87873431	124	124	215.00	430.00	349.35	371.50	43320.00
chr17	34157438	34158175	737	737	0.00	33.00	13.25	12.00	9763.00
chr2	127815619	127816088	469	469	36.00	158.00	102.29	99.00	47976.00
chr1	208212965	208213112	147	147	32.00	61.00	47.12	46.00	6927.00
chr22	19703883	19704666	783	783	0.00	49.00	21.36	20.00	16723.00
chr16	87872319	87872423	104	104	214.00	332.00	252.93	248.00	26305.00
chr9	140055740	140055868	128	128	742.00	1193.00	1016.76	1026.00	130145.00
chr22	21096515	21096643	128	128	148.00	315.00	222.63	227.00	28497.00
chr9	140056321	140056540	219	219	0.00	1445.00	896.74	1103.00	196387.00
chr11	78379981	78380253	272	272	2.00	36.00	17.97	17.00	4888.00
chr3	11070420	11070533	113	113	717.00	969.00	864.11	871.00	97644.00
chr1	109812554	109813222	668	668	6.00	901.00	383.94	555.50	256471.00
chr2	220161954	220162155	201	201	519.00	1017.00	840.78	899.00	168997.00
chr15	74706887	74707086	199	199	289.00	518.00	409.80	415.00	81551.00
chr17	7318829	7319426	597	597	294.00	580.00	436.68	439.00	260696.00
chr1	21560050	21560154	104	104	124.00	183.00	160.55	161.50	16697.00
chr1	25573799	25573952	153	153	11.00	596.00	359.88	459.00	55061.00
chr14	93198993	93199160	167	167	168.00	244.00	212.80	215.00	35538.00
chr1	205554003	205554119	116	116	98.00	177.00	124.30	118.00	14419.00
chr1	9795005	9795232	227	227	962.00	1848.00	1406.96	1523.00	319379.00
chr17	42426525	42426670	145	145	127.00	302.00	233.87	246.00	33911.00
chr18	70205887	70206179	292	292	0.00	45.00	13.38	7.00	3908.00
chr1	205553082	205553251	169	169	153.00	234.00	203.92	205.00	34462.00
chr9	140056623	140056766	143	143	8.00	1301.00	923.96	1061.00	132126.00
chr6	33412147	33412394	247	247	0.00	775.00	444.89	570.00	109889.00
chr12	89992366	89992547	181	181	21.00	837.00	561.63	583.00	101655.00
chr2	220088827	220089576	749	749	164.00	440.00	272.41	265.00	204032.00
chr14	100763073	100765222	2149	2149	41.00	393.00	139.57	129.00	299931.00
chr1	110740697	110742543	1846	1846	10.00	543.00	261.25	240.00	482273.00
chr1	149878201	149879758	1557	1557	0.00	609.00	156.41	43.00	243532.00
chr3	197264139	197265259	1120	1120	0.00	53.00	13.68	10.00	15320.00
